feature,drift_score,status
days_since_start,12.433855885838547,CRITICAL
week_of_year,12.182352684313786,CRITICAL
month,10.15825931636712,CRITICAL
dcoilwtico,9.76157973169048,CRITICAL
year,8.64903756896536,CRITICAL
quarter,7.101457293626314,CRITICAL
days_after_holiday,4.878199814294984,CRITICAL
day_of_month,4.828287833189117,CRITICAL
days_to_holiday,4.209549392632505,CRITICAL
oil_pct_change_7d,3.8421875750493486,CRITICAL
promo_rolling_7d,0.3145883781181621,CRITICAL
onpromotion,0.2983675276240942,CRITICAL
promo_lag_1,0.2953553065847609,CRITICAL
promo_lag_7,0.26429262904639245,CRITICAL
promo_x_lag7,0.25170930811034264,CRITICAL
